Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
149.77,507.06,0,89.45,93.12,278.04,433.98,38.78,8.67,110.61,4121.63,91.43,-1231.45
150.95,713.64,0,89.25,93.12,277.98,428.26,37.64,8.7,110.28,4116.97,91.45,-1231.45
151.96,515.11,0,88.99,93.12,277.94,430.17,42.6,8.7,117.49,4117.01,90.85,-1231.45
153.05,788.75,0,88.84,93.12,277.94,431.69,40.92,8.67,117.95,4115.46,90.75,-1231.07
154.12,547.3,0,88.72,93.12,277.92,426.74,41.76,8.7,111.02,4111.6,91.29,-1231.45
155.37,901.44,0,88.68,93.12,277.92,426.36,38.1,8.7,120.49,4106.98,91.73,-1231.45
156.37,721.14,0,88.68,93.08,277.9,426.74,32.15,8.7,120.36,4094.68,91.78,-1231.45
157.62,375.6,0,88.68,93.08,277.91,427.88,31.24,8.7,121.59,4108.53,92.36,-1231.45
158.75,187.8,0,89.29,94.87,257.92,385.94,47.93,8.51,116.59,3815.01,85.18,-1231.45
159.75,360.58,0,89.41,94.87,257.89,381.37,48.77,8.51,122.95,3808.08,83.3,-1231.45
160.81,191.56,0,89.71,94.87,257.58,383.66,49.84,8.55,107.08,3807.33,84.88,-1231.45
161.84,119.95,0,90.05,94.84,257.06,380.23,47.4,8.51,94.33,3798.85,86.16,-1231.83
162.88,97.85,0,91.43,94.84,256.74,382.89,41.07,8.55,69,3789.61,84.81,-1231.83
163.91,82.63,0,92.19,94.87,256.53,375.65,45.49,8.55,101.06,3767.28,81.97,-1231.83
164.91,124.33,0,92.23,94.87,256.17,379.46,48.7,8.59,108.03,3771.9,83.79,-1231.45
165.94,103.29,0,93.11,94.91,256.18,376.79,49.15,8.63,124.95,3766.52,82.88,-1231.83
