Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
1772.53,32.4,23.73,123.22,119.73,244.07,617.36,50.97,169.4,77.81,3137.04,89.49,3.31
1773.57,27.21,25.23,123.07,119.88,244.12,617.36,49.47,153.05,97.43,3131.63,89.27,2.92
1774.59,42.57,24.11,122.96,119.92,244.28,621.18,50.59,149.46,89.4,3144.81,89.27,3.31
1775.6,37.74,23.03,122.8,120,244.21,618.89,51.67,147.56,93.52,3146.32,89.32,2.92
1776.62,30.25,23.57,122.54,120,244.45,617.74,51.13,155.41,84.73,3136.29,87.82,3.31
1777.64,26.72,23.23,122.54,120,244.43,614.69,51.47,157.43,87.24,3132.39,88.09,2.54
1778.69,24.19,24.65,122.58,119.96,244.83,620.79,50.05,171.99,89.16,3152.53,87.82,3.31
1779.71,52.31,22.94,122.54,119.96,244.83,620.03,51.76,158.73,108.44,3140.91,88.22,2.92
1780.73,39.78,22.74,122.61,119.92,244.53,618.89,51.96,159.49,99.78,3151.77,87.6,2.92
1781.74,35.86,23.98,122.61,119.92,244.63,609.74,50.72,149.42,97.43,3130.84,86.64,2.92
1782.76,33.28,22.4,122.88,119.92,244.6,617.74,52.3,159.15,83.3,3150.22,85.89,2.92
1783.78,48.45,22.86,122.92,119.96,244.52,612.41,51.84,155.87,86.29,3132.39,85.01,2.92
1784.79,44.1,22.07,123,119.96,244.78,613.17,52.63,222.7,71.61,3133.94,87.25,4.07
1785.81,28.81,24.07,123.19,119.96,244.02,617.36,50.63,226.4,74.57,3153.28,89.71,3.69
1786.83,36.23,22.82,123.15,120.08,244.21,610.88,51.88,234.6,65.73,3117.7,88.75,3.69
1787.84,29.27,23.9,123.22,120.11,244.06,619.27,50.8,228.95,70.58,3139.35,91.16,3.31
1788.86,33.27,23.19,123.3,120.15,244.13,614.69,51.51,257.09,66.79,3127.77,91.03,4.07
1789.88,35.53,23.9,123.3,120.19,244.01,611.64,50.8,241.08,78.48,3126.98,84.22,3.69
1790.89,24.88,22.82,123.22,120.23,244.01,613.17,51.88,240.92,82.35,3126.22,85.36,3.31
1791.91,35.19,23.77,123.26,120.23,243.72,613.17,50.93,248.82,74.67,3137.04,90.68,3.69
1792.92,34.85,24.56,123.26,120.27,244.03,618.51,50.14,243.36,77.41,3135.49,89.19,3.69
1793.94,26.13,22.4,123.38,120.3,243.77,610.5,52.3,243.63,80.19,3115.35,89.58,3.31
1794.96,24.07,23.98,123.38,120.34,243.35,613.17,50.72,247.29,81.8,3123.11,90.9,3.31
1795.97,17.26,24.52,123.49,120.34,243.33,615.46,50.18,237.04,86.63,3125.42,89.76,3.31
1796.99,16.93,25.1,123.61,120.42,243.4,614.31,49.6,242.37,78.75,3120.01,89.45,3.31
1797.99,23.16,24.23,123.91,120,241.82,646.72,50.47,175.58,77.66,3146.85,88.92,2.16
1799.01,12.83,21.45,123.91,120.69,242.2,644.05,53.25,182.36,76.07,3142.95,87.38,2.16
1800.03,17.34,23.9,123.45,120.8,242.45,637.57,50.8,195.86,87.88,3130.53,88.04,2.54
1801.04,40.99,22.24,123.19,120.84,242.26,634.9,52.46,208.52,74.15,3126.67,87.43,2.54
1802.06,36.24,23.57,123.07,120.84,242.56,640.62,51.13,208.29,83.21,3128.22,87.65,2.54
1803.1,31.35,25.1,123.03,120.76,242.43,639.09,49.6,204.74,85.56,3135.19,86.86,2.54
1804.11,18.21,24.81,123.34,120.69,242.49,645.19,49.89,196.36,94.53,3142.95,89.67,2.54
1805.13,11.44,25.81,123.49,120.65,242.62,643.29,48.89,201.05,89.4,3142.95,89.23,2.16
1806.15,10.76,22.16,123.83,120.69,242.29,641,52.54,136.84,84.37,3137.54,88.61,1.4
1807.16,14.76,22.86,123.99,120.84,242.99,642.14,51.84,130.67,88.4,3139.09,83.87,1.4
1808.18,26.15,21.99,124.1,120.88,242.94,644.81,52.71,140.66,91.72,3142.19,85.32,1.78
1809.2,52.32,22.99,124.1,120.95,242.9,644.43,51.71,145.88,91.66,3140.64,87.08,1.4
1810.21,18.67,21.37,124.1,121.03,242.52,644.05,53.33,151.29,84.98,3141.4,87.69,1.78
1811.23,24.08,22.86,124.14,121.14,242.25,644.43,51.84,141.65,89.37,3139.09,88.83,1.4
1812.25,38.95,22.99,124.14,121.14,242.69,640.62,51.71,144.01,89.07,3134.43,91.78,1.4
1813.26,42.08,21.74,124.1,121.22,242.7,642.53,52.96,136.65,92.91,3136.74,82.91,1.4
1814.3,32.42,22.99,124.06,121.26,242.69,640.24,51.71,144.24,78.45,3135.99,89.49,1.4
1815.32,31.56,23.61,124.1,121.3,242.68,637.57,51.09,147.75,78.36,3127.43,90.06,1.4
1816.33,30.76,22.74,124.14,121.33,242.69,635.28,51.96,141.72,86.41,3120.46,88.44,1.02
1817.35,39.43,23.32,124.14,121.37,242.98,634.52,51.38,141.65,81.13,3118.91,89.27,1.02
1818.39,33.59,24.81,124.22,121.41,242.98,635.66,49.89,144.01,79.94,3121.26,89.67,1.02
1819.4,33.89,22.74,124.25,121.45,242.68,634.52,51.96,137.03,86.66,3121.26,90.2,1.4
1820.42,27.52,24.44,124.25,121.45,242.97,635.66,50.26,137.3,86.69,3121.26,89.58,1.4
1821.44,30.25,23.73,124.29,121.45,242.99,636.43,50.97,141.34,81.53,3121.26,90.2,1.4
1822.47,29.14,24.19,124.33,121.41,242.98,639.86,50.51,142.33,81.26,3127.47,88.48,1.4
1823.53,24.66,22.57,124.37,121.45,244.58,640.62,52.13,144.39,77.5,3125.92,87.91,1.78
1824.54,28.38,23.44,124.44,121.52,242.4,642.14,51.26,146.3,79.79,3120.5,83.78,1.4
1825.56,25.24,21.45,124.44,121.68,242.98,639.86,53.25,136.16,90.56,3125.92,90.24,1.02
1826.6,23.88,24.36,124.44,121.79,242.98,639.09,50.34,133.72,80.16,3125.16,90.15,1.02
1827.61,23.76,21.86,124.56,121.83,242.96,638.71,52.84,141.57,75.55,3128.26,90.42,1.4
1828.63,27.72,22.45,124.56,121.87,242.96,642.53,52.25,134.4,82.32,3133.68,90.06,1.4
1829.64,18.96,18.33,124.63,121.94,243.99,642.91,56.37,135.7,83.06,3150.71,89.67,1.4
1830.66,29.76,21.12,124.41,122.52,238.59,557.89,53.58,105.35,102.58,2934.87,88.79,0.26
1831.67,28.36,20.83,124.52,122.71,238.16,632.99,53.87,100.13,95.23,3208.17,91.51,-0.13
1832.69,26.51,21.28,124.67,122.82,238.14,629.56,53.42,112.02,96.91,3210.52,90.15,0.26
1833.71,18.45,6.71,124.41,123.01,238.54,632.23,67.99,68.37,167.93,3243.79,90.59,-0.13
1834.78,39.9,18.58,124.22,123.05,238.57,634.9,56.12,97.42,117.96,3260.83,89.36,0.26
1835.8,33.02,24.23,124.29,123.05,238.66,647.48,50.47,109.74,91.96,3319.69,84.09,0.26
1836.82,25.97,20.04,124.52,122.97,238.57,642.53,54.66,110.35,100.93,3308.07,83.52,0.26
1837.83,26.45,19.33,124.83,123.01,239.28,639.86,55.37,98.15,88.4,3308.86,85.1,-0.13
1838.87,31.05,19.79,124.86,123.16,239.11,642.53,54.91,101.16,85.44,3301.1,86.2,-0.13
1839.88,24.5,24.48,124.98,123.32,238.88,642.14,50.22,104.55,87.54,3277.86,86.95,-0.13
1840.9,20.12,20.99,125.28,123.39,238.7,645.96,53.71,99.48,104.81,3274,87.91,0.26
1841.92,20.6,16.71,125.36,123.51,238.9,643.67,57.99,81.03,125.1,3267.79,90.85,-0.13
1842.94,22.05,22.99,125.47,123.54,239.12,637.95,51.71,103.03,81.56,3271.69,89.27,0.64
1843.95,15.64,20.83,125.78,123.62,238.91,636.81,53.87,98.68,109.93,3273.24,92.3,0.26
1844.97,24.32,22.16,125.85,123.7,238.93,642.91,52.54,112.33,80.71,3290.28,90.81,0.64
1845.98,32.7,22.24,125.93,123.77,239.23,641,52.46,106.15,81.93,3271.69,91.43,0.26
1847,37.71,21.41,125.97,123.81,238.93,638.33,53.29,100.43,110.12,3300.35,91.43,0.26
1848.04,24.67,6.21,126.16,123.89,239.25,644.81,68.49,59.45,178.86,3308.86,91.29,-0.51
1849.07,17.95,23.44,126.31,123.93,239.28,652.44,51.26,103.56,102.64,3311.97,86.46,0.64
1850.11,31.11,21.32,126.43,124,239.27,642.14,53.38,99.37,104.66,3315.83,90.28,0.26
1851.15,39.71,25.35,126.46,124.04,239.27,646.34,49.35,105.31,111.09,3308.86,90.28,0.64
1852.17,22.06,16.55,126.58,124.08,239.29,641.38,58.15,85.26,125.65,3298,93.23,0.26
1853.2,56.56,22.53,126.62,124.12,239.33,680.27,52.17,104.44,100.23,3244.55,91.29,0.64
1854.24,46.08,26.02,126.66,124.12,239.3,640.24,48.68,98.64,113.11,3292.59,90.5,0.64
1855.26,24.09,19.58,126.73,124.19,239.42,640.62,55.12,91.09,114.97,3287.93,90.94,0.64
1856.27,37.35,18.75,126.77,124.27,239.59,644.43,55.95,99.02,113.11,3292.59,91.12,1.02
1857.29,49.37,20.49,126.85,124.27,239.71,638.71,54.21,99.06,105.91,3284.87,89.98,0.64
1858.31,18.86,8.41,126.92,124.38,240.14,639.09,66.29,61.62,122.08,3287.93,93.4,0.26
1859.38,24.04,18.38,127,124.42,240.23,640.62,56.32,85.41,112.35,3291.04,91.29,0.64
1860.4,36.62,22.07,127.04,124.46,240.39,641,52.63,95.74,98.74,3298,91.07,0.64
1861.46,32.83,20.49,127.07,124.5,240.43,641.38,54.21,90.71,99.07,3297.24,90.59,0.64
1862.64,44.12,23.61,126.27,124.57,245.63,637,51.09,25.25,0,0,6.88,-0.51
1862.64,44.12,23.61,126.27,124.57,245.63,637.51,51.09,25.25,0,0,6.88,-0.51
1863.65,71.93,16.22,127.15,123.74,241.07,633.76,58.48,75.39,75.89,3171.83,90.72,1.78
1864.67,24.42,14.93,127.19,123.85,241.51,637.95,59.77,82.82,94.71,3187.28,91.21,1.4
1865.68,30.49,18.83,127.07,123.93,242.03,630.71,55.87,92.58,75.76,3159.42,90.33,1.78
1866.7,24.07,19.33,126.85,124.04,242.35,631.09,55.37,98.37,64.63,3164.07,90.15,1.78
1867.71,20.01,18.46,126.66,124.15,242.41,631.85,56.24,114.65,77.9,3159.42,85.63,2.16
1868.73,24.73,18.46,126.73,124.15,242.16,634.52,56.24,131.73,80.46,3164.07,88.09,2.54
1869.75,20.9,20.45,126.54,124.19,242.07,633.76,54.25,129.56,88.4,3173.35,82.07,2.54
1870.76,21.39,22.16,126.39,124.15,242.36,625.37,52.54,129.1,89.25,3183.45,84.97,2.54
1871.78,21.18,23.44,126.58,124.12,242.07,631.09,51.26,147.56,71.98,3196.59,85.5,2.92
1872.8,26.71,22.99,126.62,123.96,242.05,629.56,51.71,227.92,79.85,3198.94,87.03,4.07
1873.81,24.23,21.99,126.73,123.96,242.34,630.71,52.71,176.26,113.78,3185.76,85.94,3.31
1874.83,17.18,22.99,126.85,123.93,242.04,628.04,51.71,134.4,81.74,3195.79,86.81,2.92
1875.85,26.51,24.69,127,123.89,242.57,633.76,50.01,141.15,91.93,3196.59,85.01,2.92
1876.86,27.93,22.2,127,123.89,243.18,636.04,52.5,143.17,88.3,3225.25,86.02,3.31
1877.88,30.75,23.48,127,123.89,243.07,636.43,51.22,140.24,91.66,3275.59,83.74,3.31
1878.91,31.07,25.06,127.11,123.89,243.02,645.19,49.64,135.55,97.79,3267.83,85.45,2.92
1879.93,32.97,19.25,127.15,123.93,243.1,635.28,55.45,141.68,93.67,3232.21,84.75,2.92
1880.95,28.93,20.87,127.27,123.96,243.07,634.52,53.83,139.13,96.72,3233.76,86.73,3.31
1881.96,36.62,21.08,127.34,124,242.43,630.33,53.62,136.61,98.71,3215.18,86.77,3.31
1882.98,29.82,21.2,127.3,124.04,242.39,633.76,53.5,137.15,94.99,3220.59,86.55,3.31
1884.02,24.7,21.82,127.34,124.12,242.48,635.28,52.88,137.61,96.91,3217.48,85.94,3.31
1885.03,29.75,22.36,127.38,124.12,242.45,636.43,52.34,180.04,67.43,3210.52,86.42,3.69
1886.05,30.25,21.57,127.38,124.15,242.37,640.24,53.13,216.87,74.91,3233.76,84.09,4.45
1887.07,41.11,21.37,127.53,124.19,242.37,632.23,53.33,199.29,96.11,3220.59,87.34,4.45
1888.08,29.04,20.74,127.68,124.27,242.38,635.66,53.96,153.08,146.03,3226,89.76,3.31
1889.12,51.1,19.66,127.68,124.31,242.39,638.33,55.04,162.54,139.35,3216.73,90.72,3.69
1890.14,27.72,21.32,127.68,124.38,242.14,633.38,53.38,131.01,98.4,3205.11,87.03,3.31
1891.15,34.53,20.87,127.61,124.46,242.13,634.9,53.83,129.22,96.27,3215.18,84.27,3.31
1892.17,26.72,21.91,127.61,124.5,242.08,638.33,52.79,141.95,76.92,3219.04,89.98,3.31
1893.19,23.45,22.28,127.53,124.54,242.09,639.86,52.42,124.11,98.4,3219.04,89.54,3.31
1894.2,26.14,22.86,127.57,124.5,242.11,641,51.84,129.94,92.03,3222.9,89.01,3.31
1895.21,40.81,20.33,127.72,124,241.8,650.91,54.37,96.7,96.36,3221.42,89.27,3.31
1896.23,27.82,20.41,127.8,124.12,241.79,655.11,54.29,106.23,82.32,3251.63,87.82,3.31
1897.26,48.44,21.08,127.91,124.23,241.81,652.06,53.62,97.99,89.52,3240.8,89.58,2.92
1898.28,34.86,20.58,127.95,124.38,241.8,651.29,54.12,96.89,95.14,3227.63,89.1,3.31
1899.3,34.54,22.4,128.03,124.46,241.8,652.06,52.3,101.62,86.08,3233.04,90.37,3.31
1900.32,38.96,20.54,128.1,124.5,241.91,643.29,54.16,98.79,88.67,3198.97,90.5,3.31
1901.35,29.36,22.32,128.07,124.61,241.81,639.86,52.38,98.11,91.45,3185.04,91.03,3.31
1902.37,29.76,19.75,127.95,124.61,242.36,632.23,54.95,104.78,79.79,3183.49,90.55,3.31
1903.38,23.01,21.66,127.72,124.61,242.64,636.04,53.04,92.16,98.4,3177.28,91.34,2.92
1904.4,16.79,15.55,127.61,124.46,242.96,636.43,59.15,105.89,71.22,3176.53,89.32,3.31
1905.44,11.69,18.42,127.68,124.31,243.48,640.24,56.28,118.77,59.29,3190.46,83.65,3.31
1906.47,18.74,19.54,127.65,124.31,243.79,639.86,55.16,117.09,80.71,3187.39,84.44,3.69
1907.51,16.43,19.7,127.61,124.35,243.56,642.53,55,115.26,82.48,3197.42,88.13,3.69
1908.53,17.77,17.46,127.57,124.35,243.5,632.23,57.24,118.47,75.86,3171.11,87.3,4.07
1909.54,34.22,15.93,127.57,124.35,243.54,638.71,58.77,122.28,71.31,3187.39,88.04,4.07
1909.54,34.22,15.93,127.57,124.35,243.54,638.71,58.77,122.28,71.31,3187.39,88.04,4.07
1910.58,48.49,16.84,127.8,125.07,245.07,664.64,57.86,104.97,85.59,3294.18,90.42,4.83
1911.6,29.77,17.92,127.68,124.99,244.86,648.24,56.78,113.09,74.21,3235.35,88.61,4.45
1912.61,15.71,19.75,127.57,124.88,244.87,650.91,54.95,106.72,80.77,3242.32,89.76,4.07
1913.63,12.84,14.97,127.46,124.73,244.48,651.29,59.73,85.18,96.82,3236.9,80.49,4.45
1914.67,21.94,21.2,127.49,124.69,244.47,658.92,53.5,105.39,76.56,3237.66,84.75,4.45
1915.7,24.2,21.37,127.68,124.73,244.85,655.49,53.33,110.46,82.6,3241.52,87.21,4.83
1916.72,19.26,21.74,127.91,124.5,244.83,642.91,52.96,113.01,66.67,3267.87,87.17,4.45
1917.74,12.28,10.94,128.03,124.8,246.19,665.02,63.76,84.38,106.76,3155.56,83.92,4.45
1918.75,16.95,20.66,128.1,124.69,247.14,660.44,54.04,98.83,82.78,3166.42,84.53,4.83
1919.77,21.14,19.83,128.26,124.61,247.52,666.16,54.87,101.42,88.76,3171.04,87.08,4.83
1920.79,18.49,16.55,128.41,124.65,248.46,666.54,58.15,112.44,76.59,3169.49,86.2,5.21
1921.8,22.3,20.74,128.49,124.73,249.56,664.64,53.96,104.67,92.57,3168.73,90.15,5.21
1922.82,12.24,20.74,128.6,124.84,250.77,660.83,53.96,108.02,77.96,3195.08,82.91,5.21
1923.83,23.75,20.08,128.64,124.88,251.39,655.49,54.62,101.2,83.48,3203.59,86.95,5.21
1924.85,18.43,18.83,128.64,124.92,251.96,665.4,55.87,109.93,71,3216.77,90.94,4.83
1925.87,31,5.88,128.49,124.12,253.91,681.03,68.82,72.95,75.4,3234.59,91.21,5.59
1926.9,11.3,13.18,128.26,124.19,255.28,684.84,61.52,79.35,115.91,3252.39,95.03,5.21
1927.92,19.17,17.92,127.91,124.08,256.18,685.61,56.78,98.68,81.44,3281.8,93.49,5.21
1928.94,16.64,19.46,127.38,124.04,256.49,682.18,55.24,95.02,95.6,3251.63,92.92,5.59
1929.95,20.81,24.27,127.27,124,257.33,676.08,50.43,108.74,69.81,3260.15,92.52,5.59
1930.97,23.61,21.45,127.34,123.93,257.41,677.22,53.25,115.11,70.82,3242.32,91.69,5.97
1931.99,0,13.02,127.61,124.04,259.34,682.56,61.68,90.94,84.79,3243.11,92.57,5.21
1933,20.32,18.87,127.72,124.15,259.4,678.74,55.83,98.3,92.97,3215.21,92.08,5.59
1934.02,22.87,21.49,127.76,124.31,259.39,681.41,53.21,108.86,80.68,3215.21,91.25,5.59
1935.05,7.05,8.91,127.84,124.84,258.67,681.03,65.79,75.19,102.49,3225.28,89.67,5.97
1936.07,17.19,18.87,127.88,124.99,258.54,679.51,55.83,98.11,88.46,3222.18,92.83,5.97
1937.09,15.44,18.83,128.03,125.03,258.87,682.18,55.87,105.89,82.84,3212.9,91.07,6.36
1938.15,19.91,20.95,128.07,125.03,258.94,682.56,53.75,106.57,83.51,3211.35,90.81,6.36
1939.16,20.02,18.96,128.18,125.03,259.33,680.27,55.74,102.15,86.66,3215.21,90.55,5.59
1940.18,18.74,16.76,128.29,124.99,259.35,684.46,57.94,99.44,92.18,3216.77,90.33,6.36
1941.21,19,24.02,128.41,124.92,259.39,682.94,50.68,107.91,75.46,3209.8,90.9,6.36
1942.23,14.3,18.92,128.6,124.88,260.24,680.65,55.78,106.46,85.62,3208.25,90.9,6.36
1943.27,14.69,22.07,128.64,124.96,260.3,678.36,52.63,105.62,83.21,3196.63,93.05,5.97
1944.3,20.72,23.57,128.71,124.92,259.22,685.23,51.13,115.23,79.79,3253.14,92.3,5.97
1945.32,20.68,18.79,128.75,124.99,259.41,682.56,55.91,107.14,94.83,3240.77,92.79,6.36
1946.34,22.33,21.95,128.71,125.11,259.08,690.18,52.75,108.97,96.27,3255.49,94.19,5.97
1947.36,23.79,22.2,128.68,125.18,259.6,687.13,52.5,106.34,95.84,3254.7,94.02,5.97
1948.37,14.95,22.53,128.75,125.26,259.6,689.04,52.17,95.48,116.56,3253.94,95.07,6.36
1949.39,16.35,22.28,128.75,125.26,259.4,689.8,52.42,117.28,92.85,3291.11,93.14,6.74
1950.43,14.98,22.24,128.83,125.3,259.27,690.94,52.46,103.56,109.11,3279.49,93.62,6.74
1951.45,20.46,24.02,128.87,125.34,258.61,683.32,50.68,114.65,92.51,3270.18,93.23,7.12
1952.46,24.56,23.15,128.9,125.37,259.26,691.71,51.55,106.34,106.3,3261.7,93.14,6.74
1953.48,24.09,22.9,129.02,125.45,258.98,687.13,51.8,100.89,88.64,3259.35,92.66,6.36
1954.5,20.12,23.65,129.06,125.41,258.97,690.18,51.05,110.96,86.38,3257.8,92.96,6.74
1955.53,27.03,24.73,129.06,125.45,259.32,686.37,49.97,106.8,84.46,3268.66,93.71,6.36
1956.55,27.77,24.73,129.1,125.49,259.01,687.13,49.97,112.52,88.94,3259.35,93.23,6.74
1957.57,27.64,19.83,129.13,125.57,258.95,693.23,54.87,115.91,76.25,3270.22,89.93,7.12
1958.6,47.84,20.7,129.21,125.6,258.97,693.23,54,113.47,83.76,3261.7,91.91,6.74
1959.64,34.55,19.23,129.32,125.49,258.6,684.46,57.57,98.49,76.68,3166.8,90.64,7.12
1960.66,27.73,23.3,129.32,125.64,258.67,696.28,53.5,104.51,84.58,3197.08,89.76,7.12
1961.69,17.73,20.06,129.32,125.87,259.14,702.76,56.74,96.35,90.9,3217.3,91.16,7.12
1962.71,16.64,22.3,129.29,126.02,259.9,701.24,54.5,100.81,87.45,3227.36,91.47,7.12
1963.73,12.67,10.17,128.79,126.14,260.1,702.38,66.62,77.37,130.44,3229.67,94.02,7.12
1964.78,24.83,24.42,128.79,126.14,260.19,706.58,52.38,99.75,90.41,3245.95,91.91,7.5
1965.82,14.24,23.01,129.13,126.1,260.18,708.86,53.79,95.82,95.11,3248.3,92.44,7.5
1966.84,21.65,21.59,129.29,126.14,260.08,709.24,55.2,104.74,89.52,3242.09,92.13,7.12
1967.85,17.41,26.12,129.78,126.25,260.14,708.86,50.68,98.22,77.72,3249.85,90.42,7.5
1968.87,18.68,23.67,129.82,126.33,260.32,712.68,53.13,104.25,78.94,3259.92,92.66,7.5
1969.89,28.48,21.01,130.05,126.37,260.7,712.68,55.78,105.85,87.21,3276.2,92.57,7.5
1970.9,35.19,22.59,129.97,126.37,260.5,711.53,54.21,101.16,99.71,3267.68,93.49,7.12
1971.92,13.55,24.67,130.2,126.52,260.19,710.77,52.13,86.4,82.84,3272.3,91.47,7.5
1972.93,8.51,22.8,131.84,126.71,260.19,711.53,54,81.26,86.17,3272.3,88.61,7.12
1973.95,17.26,23.38,131.76,126.71,260.17,711.53,53.42,102.23,94.07,3266.13,90.37,7.12
1974.97,20.69,22.59,131.61,126.82,260.15,708.86,54.21,94.49,98.16,3267.68,91.6,7.12
1975.98,17.34,28.16,131.34,126.86,260.63,708.48,48.64,118.47,75.28,3266.13,89.84,7.5
1977.02,19.54,25.42,131.23,126.86,261.41,706.58,51.38,112.18,93.09,3294.03,88.79,7.5
1978.08,33.05,26.62,131.27,126.86,261.3,709.63,50.18,114.54,88.06,3300.2,86.46,7.5
1979.1,22.35,23.67,131.31,126.86,260.85,712.29,53.13,125.79,97.09,3274.64,90.85,7.88
1980.13,23.19,26.74,131.54,126.9,261.39,712.68,50.05,109.2,116.43,3260.71,91.51,7.5
1981.17,0,26.25,132.26,126.94,261.45,711.53,50.55,119.76,105.14,3256.06,91.51,7.5
1982.19,19.8,26.25,131.88,126.94,260.87,716.87,50.55,122.13,104.17,3273.09,90.28,7.88
1983.21,30.11,30.11,132.11,126.98,260.85,717.63,46.69,118.39,109.75,3278.51,89.71,7.88
1984.3,34.56,28.49,132.79,127.01,261.16,715.34,48.31,117.09,113.78,3276.2,88.7,7.5
1985.32,29.07,29.94,132.56,127.09,261.15,713.06,46.86,119.57,113.41,3280.85,89.23,7.88
1986.35,41.93,26,132.53,127.09,261.16,714.2,50.8,127.81,103.59,3288.61,89.62,7.88
1987.41,41.77,31.15,132.6,127.13,261.18,710.01,45.65,123.77,106.33,3304.1,90.5,7.88
1988.43,44.14,25.91,132.98,127.17,261.5,710.77,50.88,119.57,111.61,3295.58,90.72,7.88
1989.46,49.13,28.78,133.02,127.2,261.51,708.48,48.02,122.97,109.72,3298.68,91.07,7.88
1990.5,36.51,26.58,133.37,127.24,259.38,710.01,50.22,112.75,124.24,3307.96,91.34,8.26
1991.56,30.41,30.77,133.67,127.24,258.63,713.06,46.02,111.76,129.98,3301.79,91.16,8.26
1992.57,28.16,25.75,132.18,127.32,255.86,650.53,49.55,119.11,89.34,3148.67,89.27,8.26
1993.59,32.96,27.87,132.11,127.4,255.79,656.25,47.44,117.93,90.1,3168.05,90.15,8.26
1994.6,23.76,27.04,131.99,127.55,255.58,661.21,48.27,117.51,89.31,3178.12,90.2,8.26
1995.62,23.14,25.71,131.84,127.66,255.31,652.44,49.6,109.81,91.14,3152.57,89.54,7.88
1996.63,15.57,25.29,131.31,127.78,255.28,658.16,50.01,112.21,96.42,3170.36,89.1,8.26
1997.65,20.66,26.74,131.34,127.7,254.44,655.11,48.56,114.84,94.47,3151.77,88.57,8.26
1998.67,23.59,25.54,131.38,127.62,253.78,653.96,49.76,118.01,90.2,3150.22,88.88,7.88
1998.67,23.59,25.54,131.38,127.62,253.78,653.96,49.76,118.01,90.2,3150.22,88.88,7.88
1999.7,22.34,17.11,131.38,127.62,253.54,661.21,58.19,88.77,124.76,3178.12,89.14,7.88
2000.72,23.32,20.35,131.42,127.66,253.45,646.72,54.95,102.8,108.17,3175.81,85.76,7.88
2001.75,21.43,26.99,131.5,127.62,253.52,649.39,48.31,122.39,85.28,3198.26,88.22,7.88
2002.77,14.81,24.5,131.5,127.55,253.62,649.77,50.8,94.83,111.92,3182.77,91.51,7.5
2003.79,23.61,26.29,131.57,127.47,253.78,658.54,49.01,118.77,82.54,3183.53,90.33,7.88
2004.8,18.2,18.31,131.57,127.47,254.23,645.19,56.99,124.87,83.33,3153.32,89.41,7.88
2005.82,63.08,14.41,131.57,127.47,254.48,652.06,60.89,96.93,126.35,3157.22,90.55,7.88
2006.84,56.28,14.37,131.5,127.43,254.31,650.15,60.93,95.52,129.95,3158.77,90.15,7.88
2007.85,14.81,24.92,131.57,127.47,254.76,647.1,50.39,119.31,73.29,3151.77,89.98,7.88
2008.87,20.66,22.05,131.69,127.55,254.79,657.01,53.25,96.28,109.14,3174.26,89.49,7.88
2009.88,12.24,16.94,131.65,127.62,255.09,650.15,58.36,91.63,116.59,3144.81,86.77,7.88
2010.9,23.75,23.13,131.61,127.66,255.42,653.96,52.17,108.71,117.26,3153.32,88.22,7.88
2011.92,23,20.43,131.54,127.66,256.23,648.63,54.87,109.55,113.72,3153.32,87.17,7.88
2012.93,30.75,20.43,131.57,127.7,256.4,645.96,54.87,107.68,118.23,3150.22,85.36,7.88
2013.95,36.23,19.31,131.42,127.66,256.27,650.53,55.99,103.9,111.43,3156.43,85.89,7.88
2014.97,25.95,21.47,131.38,127.62,256.53,650.91,53.83,119.53,92.79,3154.87,84.53,8.26
2015.98,33.56,16.86,131.38,127.62,256.55,650.15,58.44,112.75,118.75,3147.91,84.71,8.26
2017,37.27,22.59,131.42,127.59,257.2,650.53,52.71,104.44,109.26,3158.74,87.74,7.88
2018.01,34.51,25.29,131.42,127.59,257.35,655.49,50.01,113.21,101,3175.01,90.28,8.26
2019.03,29.49,20.18,131.46,127.59,257.4,649.01,55.12,98.45,117.84,3157.98,89.27,7.88
2020.05,34.84,24.38,131.42,127.62,257.79,652.06,50.93,113.85,99.44,3153.32,88.7,7.88
2021.06,23.3,19.02,131.46,127.66,258.08,648.63,56.28,106.11,109.42,3148.7,84,7.88
2022.08,45.17,19.73,131.5,127.62,258.06,652.06,55.58,109.81,103.83,3151.01,86.77,7.88
2023.09,24.72,18.98,131.46,127.55,256.51,723.35,56.32,101.01,107.65,3225.09,89.49,7.5
2024.1,25.06,20.85,131.46,127.7,256.53,727.54,54.46,111.3,106.91,3239.06,90.46,7.88
2025.12,29.76,21.1,131.38,127.78,256.52,730.21,54.21,108.55,106.43,3251.48,90.33,7.5
2026.16,17.5,13.54,131.31,127.97,255.7,728.31,61.76,100.01,116.01,3254.54,88.92,7.5
2027.17,53.81,15.57,131.23,127.97,255.36,732.88,59.73,105.01,110.55,3253.79,89.84,7.12
2028.19,43.02,15.45,131.15,128.01,254.92,733.26,59.85,99.9,116.28,3256.1,90.46,7.5
2029.2,38.9,18.52,131.27,128.04,254.94,726.4,56.78,100.32,117.1,3259.2,90.94,7.5
2030.24,19.62,21.68,131.5,128.08,254.65,728.69,53.62,100.24,101.06,3253.79,89.1,7.5
2031.26,20.43,19.68,131.61,128.16,254.49,734.03,55.62,100.55,102.89,3254.54,87.65,7.5
2032.27,20.9,19.48,131.65,128.27,254.36,732.88,55.83,105.47,103.44,3249.93,87.65,7.5
